Star Wars: Episode VII - Das Erwachen der Macht;4,5;2015;Mehr als drei Jahrzehnte nach „Star Wars 6 – Die Rückkehr der Jedi-Ritter“ wurde das Imperium durch die „Erste Ordnung“ abgelöst, eine ebenfalls diktatorische Organisation mit anderem Namen, die Krieg gegen den Widerstand führt. Von großer Politik aber weiß Rey (Daisy Ridley) auf dem Wüstenplaneten Jakku zunächst nicht viel. Die junge Frau verbringt ihre Tage damit, die karge Landschaft nach Schrott abzusuchen, den sie danach verkauft. Sie ist allein, wartet auf ihre Familie – bis sie die Bekanntschaft von Finn (John Boyega) macht, einem ehemaligen Sturmtruppler, den die Untaten der Ersten Ordnung abgeschreckt haben. Er hat nach einer besonders brutalen Invasion Fahnenflucht begangen und dabei gleich noch dem Widerstand geholfen, durch die Befreiung des gefangenen Piloten Poe Dameron (Oscar Isaac). Finn, Poe und mit ihnen auch Rey geraten ins Visier des sinisteren Kylo Ren (Adam Driver), der dem machtvollen Strippenzieher Supreme Leader Snoke (Andy Serkis) dient und die Mission vollenden will, die Darth Vader einst begann. Eine Flucht nimmt ihren Lauf, die das Helden-Trio mitten in den Kampf zwischen Erster Ordnung und Widerstand bringt, Seite an Seite mit den legendären Rebellenhelden Han Solo (Harrison Ford) und Generalin Leia (Carrie Fisher)…;Daisy Ridley, John Boyega, Adam Driver;J.J. Abrams
Mad Max: Fury Road;4,5;2015;In einer trüben Wüstenlandschaft, wo die Menschheit verkommen und fast jeder bereit ist, für das Überlebensnotwendige bis an die Grenzen zu gehen, leben zwei Außenseiter: Max (Tom Hardy), ein Mann der Tat und weniger Worte, der nach dem Verlust seiner Frau und seines Kindes Seelenfrieden sucht – und die elitäre Furiosa (Charlize Theron), eine Frau der Tat, die glaubt, dass sie ihr Überleben sichern kann, wenn sie es aus der Wüste bis in ihre Heimat schafft. Als Max gerade beschlossen hat, dass er alleine besser dran ist, trifft er auf eine Gruppe in einem Kampfwagen, hinter dessen Steuer Furiosa sitzt. Die Flüchtlinge, darunter Splendid (Rosie Huntington-Whiteley) und andere Ex-Sklavinnen (Riley Keough, Zoë Kravitz, Abbey Lee, Courtney Eaton), sind dem Warlord Immortan Joe (Hugh Keays-Byrne) entkommen, der ihnen nun nachstellt – denn Frauen sind zur Ware geworden, wertvoll wie Wasser und Benzin. Die Konfrontation zwischen Immortan Joes Banden und den Flüchtlingen führt zum temporeichen, staubigen Straßenkrieg…;Tom Hardy, Charlize Theron, Zoë Kravitz;George Miller
Alles steht Kopf;4,5;2015;Die elfjährige Riley (Stimme im Original: Kaitlyn Dias) wird plötzlich aus ihrem bisherigen Leben im mittleren Westen gerissen, als ihr Vater einen neuen Job annimmt. Die Familie zieht nach San Francisco und die Gefühle im Kontrollzentrum von Rileys Verstand haben mächtig zu tun: Freude (Amy Poehler) versucht, das Positive herauszustellen, doch Angst (Bill Hader), Wut (Lewis Black), Ekel (Mindy Kaling) und Traurigkeit (Phyllis Smith) bekommen immer mehr die Überhand. Die Gefühle sind sich uneins darüber, wie sie das Mädchen am besten durch den veränderten Alltag navigieren. Als sich Freude und Traurigkeit dann auch noch verlaufen, müssen sie schnell ins Kontrollzentrum zurückfinden, sonst könnte Riley eine große Dummheit begehen. Bald treffen die beiden verirrten Gefühle Rileys imaginären Freund Bing Bong (Richard Kind) und der hat noch eine Ladung guter Laune im Gepäck. Aber der Weg durch Träume und Gedanken zurück in die Zentrale ist lang und voller Hindernisse...;Amy Poehler, Olaf Schubert, Mindy Kaling;Pete Docter
